rat_ID,rat_name,detail,Freq,Dur,dB,dprime,Rxn,line,genotype,sex
211,Purple4,Mixed,0,50,40,2.49389246339199,245.056737196137,Fmr1-LE,WT,M
211,Purple4,Mixed,0,50,50,2.57735706710292,216.794442713772,Fmr1-LE,WT,M
211,Purple4,Mixed,0,50,60,2.59056761233069,190.016695411533,Fmr1-LE,WT,M
211,Purple4,Mixed,0,50,70,2.64454153466958,169.093127400556,Fmr1-LE,WT,M
211,Purple4,Mixed,0,50,80,2.71378364060893,138.559566631702,Fmr1-LE,WT,M
211,Purple4,Mixed,0,100,20,0.649052420431293,702.407305833333,Fmr1-LE,WT,M
211,Purple4,Mixed,0,100,30,2.15453838001401,323.677682070067,Fmr1-LE,WT,M
211,Purple4,Mixed,0,100,40,2.62894410833983,245.471059143421,Fmr1-LE,WT,M
211,Purple4,Mixed,0,100,50,2.62548834751842,202.961893956044,Fmr1-LE,WT,M
211,Purple4,Mixed,0,100,60,2.71270886532169,184.710668567796,Fmr1-LE,WT,M
211,Purple4,Mixed,0,100,70,2.70133549908857,177.179848574153,Fmr1-LE,WT,M
211,Purple4,Mixed,0,100,80,2.73201656034396,140.782878988296,Fmr1-LE,WT,M
211,Purple4,Mixed,0,300,20,0.635824237315657,674.217223492064,Fmr1-LE,WT,M
211,Purple4,Mixed,0,300,30,2.57491719222085,341.475598402879,Fmr1-LE,WT,M
211,Purple4,Mixed,0,300,40,2.64259082499255,242.38313691008,Fmr1-LE,WT,M
211,Purple4,Mixed,0,300,50,2.65888541984913,204.242855157343,Fmr1-LE,WT,M
211,Purple4,Mixed,0,300,60,2.70481697721525,180.062699491418,Fmr1-LE,WT,M
211,Purple4,Mixed,0,300,70,2.7019832003901,162.35818949838,Fmr1-LE,WT,M
211,Purple4,Mixed,0,300,80,2.72824788787502,144.013592999593,Fmr1-LE,WT,M
211,Purple4,Mixed,0,50,10,-0.173052143004391,943.914625,Fmr1-LE,WT,M
211,Purple4,Mixed,0,100,10,-0.228254374897772,751.171666666667,Fmr1-LE,WT,M
211,Purple4,Mixed,0,300,10,0.0991649943938422,973.25675,Fmr1-LE,WT,M
196,LP5,Mixed,0,50,20,0.797988232122073,629.605794675926,Fmr1-LE,WT,M
196,LP5,Mixed,0,50,30,2.41767086154046,277.189179771511,Fmr1-LE,WT,M
196,LP5,Mixed,0,50,40,2.77350779056823,252.846069961235,Fmr1-LE,WT,M
196,LP5,Mixed,0,50,50,2.79073639790345,252.346436833369,Fmr1-LE,WT,M
196,LP5,Mixed,0,50,60,2.79269993252607,250.694191836951,Fmr1-LE,WT,M
196,LP5,Mixed,0,50,70,2.85634290728522,234.56346867476,Fmr1-LE,WT,M
196,LP5,Mixed,0,50,80,2.91439704601295,254.932556397306,Fmr1-LE,WT,M
196,LP5,Mixed,0,100,20,0.764465333700232,492.559574768519,Fmr1-LE,WT,M
196,LP5,Mixed,0,100,30,2.65520607881707,298.787982150755,Fmr1-LE,WT,M
196,LP5,Mixed,0,100,40,2.77295973562077,242.660286613387,Fmr1-LE,WT,M
196,LP5,Mixed,0,100,50,2.8536123683689,244.450049147822,Fmr1-LE,WT,M
196,LP5,Mixed,0,100,60,2.80065119348089,250.979605627706,Fmr1-LE,WT,M
196,LP5,Mixed,0,100,70,2.84845101917879,243.249238181516,Fmr1-LE,WT,M
196,LP5,Mixed,0,100,80,2.84710059957914,236.866202213219,Fmr1-LE,WT,M
196,LP5,Mixed,0,300,20,0.779394926341078,575.061689186508,Fmr1-LE,WT,M
196,LP5,Mixed,0,300,30,2.67906807384864,286.974431159225,Fmr1-LE,WT,M
196,LP5,Mixed,0,300,40,2.77405584551568,254.724100711255,Fmr1-LE,WT,M
196,LP5,Mixed,0,300,50,2.85006163342497,228.590276582508,Fmr1-LE,WT,M
196,LP5,Mixed,0,300,60,2.84163639929171,222.50097663044,Fmr1-LE,WT,M
196,LP5,Mixed,0,300,70,2.85279217234129,228.46839264372,Fmr1-LE,WT,M
196,LP5,Mixed,0,300,80,2.91228874993187,213.978646897547,Fmr1-LE,WT,M
164,TP6,Alone,0,50,15,0.0445188656865913,747.964596825397,Tsc2-LE,Het,F
164,TP6,Alone,0,50,25,1.40964598493364,279.363287922705,Tsc2-LE,Het,F
164,TP6,Alone,0,50,35,2.37548725258337,205.110929041249,Tsc2-LE,Het,F
164,TP6,Alone,0,50,45,2.71137236990688,188.544672198172,Tsc2-LE,Het,F
164,TP6,Alone,0,50,55,2.90574107072937,188.46465,Tsc2-LE,Het,F
164,TP6,Alone,0,50,65,2.90574107072937,152.1286,Tsc2-LE,Het,F
164,TP6,Alone,0,50,75,2.9265294828366,116.938523809524,Tsc2-LE,Het,F
164,TP6,Alone,0,50,90,3.26735526660296,102.17728460039,Tsc2-LE,Het,F
213,Purple3,Alone,0,50,30,1.13969055904579,345.889217640709,Fmr1-LE,KO,M
213,Purple3,Alone,0,50,40,1.91650416572587,250.184480115972,Fmr1-LE,KO,M
213,Purple3,Alone,0,50,50,2.73578871651603,225.941224786811,Fmr1-LE,KO,M
213,Purple3,Alone,0,50,60,2.9704529405417,195.712926658822,Fmr1-LE,KO,M
213,Purple3,Alone,0,50,70,3.05952927042761,181.4703478231,Fmr1-LE,KO,M
213,Purple3,Alone,0,50,80,3.02309675905567,162.163342416971,Fmr1-LE,KO,M
213,Purple3,Alone,0,50,90,3.06943081681431,147.106876183202,Fmr1-LE,KO,M
211,Purple4,Mixed,0,50,15,0.154908001002534,701.342583333333,Fmr1-LE,WT,M
211,Purple4,Mixed,0,50,25,1.31254003521092,592.827315151515,Fmr1-LE,WT,M
211,Purple4,Mixed,0,50,35,2.15437006433406,247.253882575758,Fmr1-LE,WT,M
211,Purple4,Mixed,0,50,45,2.30898897886973,224.532315705128,Fmr1-LE,WT,M
211,Purple4,Mixed,0,50,55,2.3896953690867,187.111333333333,Fmr1-LE,WT,M
211,Purple4,Mixed,0,50,65,2.38775430701626,163.348937062937,Fmr1-LE,WT,M
211,Purple4,Mixed,0,50,75,2.3896953690867,152.850666666667,Fmr1-LE,WT,M
211,Purple4,Mixed,0,100,15,0.331453103808367,848.741083333333,Fmr1-LE,WT,M
211,Purple4,Mixed,0,100,25,1.77780078765402,444.08235,Fmr1-LE,WT,M
211,Purple4,Mixed,0,100,35,2.30898897886973,258.309153846154,Fmr1-LE,WT,M
211,Purple4,Mixed,0,100,45,2.29872828723539,213.582601107226,Fmr1-LE,WT,M
211,Purple4,Mixed,0,100,55,2.40827569028493,202.693173076923,Fmr1-LE,WT,M
211,Purple4,Mixed,0,100,65,2.40827569028493,160.353407051282,Fmr1-LE,WT,M
211,Purple4,Mixed,0,100,75,2.40827569028493,153.046576923077,Fmr1-LE,WT,M
211,Purple4,Mixed,0,300,15,0.702728316369379,854.928541666667,Fmr1-LE,WT,M
211,Purple4,Mixed,0,300,25,1.93379857627759,463.600574679487,Fmr1-LE,WT,M
211,Purple4,Mixed,0,300,35,2.28943812663628,246.550513257576,Fmr1-LE,WT,M
211,Purple4,Mixed,0,300,45,2.29872828723539,191.988149184149,Fmr1-LE,WT,M
211,Purple4,Mixed,0,300,55,2.40827569028493,178.385237179487,Fmr1-LE,WT,M
211,Purple4,Mixed,0,300,65,2.3896953690867,163.316583333333,Fmr1-LE,WT,M
211,Purple4,Mixed,0,300,75,2.38775430701626,144.080366666667,Fmr1-LE,WT,M
213,Purple3,Alone,0,50,20,0.234656787410191,693.587770486111,Fmr1-LE,KO,M
196,LP5,Mixed,0,50,90,3.52974050001588,171.99475,Fmr1-LE,WT,M
196,LP5,Mixed,0,100,90,3.52974050001588,158.904,Fmr1-LE,WT,M
196,LP5,Mixed,0,300,90,3.52974050001588,160.594416666667,Fmr1-LE,WT,M
210,Purple2,Mixed,0,50,90,3.06146506802874,212.897501857517,Fmr1-LE,KO,M
210,Purple2,Mixed,0,100,90,3.06146506802874,204.639072115385,Fmr1-LE,KO,M
210,Purple2,Mixed,0,300,90,3.05217490742962,192.332653190559,Fmr1-LE,KO,M
213,Purple3,Alone,0,100,90,3.0800942011065,115.818751208012,Fmr1-LE,KO,M
209,Purple1,Mixed,0,50,30,2.27927282443291,358.543692063492,Fmr1-LE,WT,M
209,Purple1,Mixed,0,50,40,3.06409859003539,312.277241763471,Fmr1-LE,WT,M
209,Purple1,Mixed,0,50,50,3.05965899298753,316.475303434688,Fmr1-LE,WT,M
209,Purple1,Mixed,0,50,60,3.18453224879295,314.531716736695,Fmr1-LE,WT,M
209,Purple1,Mixed,0,50,70,3.14807197162301,297.988164016045,Fmr1-LE,WT,M
209,Purple1,Mixed,0,50,80,3.21442722733898,290.695818405627,Fmr1-LE,WT,M
209,Purple1,Mixed,0,100,20,0.641069918721945,776.842976666667,Fmr1-LE,WT,M
209,Purple1,Mixed,0,100,30,2.73378525584834,328.60734830634,Fmr1-LE,WT,M
209,Purple1,Mixed,0,100,40,3.10121620818066,304.94194057475,Fmr1-LE,WT,M
209,Purple1,Mixed,0,100,50,3.18723559140824,312.831767340224,Fmr1-LE,WT,M
209,Purple1,Mixed,0,100,60,3.13746717366293,303.081342755001,Fmr1-LE,WT,M
209,Purple1,Mixed,0,100,70,3.18895748685031,306.474751411992,Fmr1-LE,WT,M
209,Purple1,Mixed,0,100,80,3.22050396669807,282.959420878468,Fmr1-LE,WT,M
209,Purple1,Mixed,0,300,20,1.09176615560224,536.441820933141,Fmr1-LE,WT,M
209,Purple1,Mixed,0,300,30,2.99115169502576,330.498338352008,Fmr1-LE,WT,M
209,Purple1,Mixed,0,300,40,3.13902849390253,299.295295385393,Fmr1-LE,WT,M
209,Purple1,Mixed,0,300,50,3.18385963702965,310.478881063188,Fmr1-LE,WT,M
209,Purple1,Mixed,0,300,60,3.18701841654362,309.544803165694,Fmr1-LE,WT,M
209,Purple1,Mixed,0,300,70,3.1848377802485,309.816025929883,Fmr1-LE,WT,M
209,Purple1,Mixed,0,300,80,3.2119928552561,308.400046094733,Fmr1-LE,WT,M
209,Purple1,Mixed,0,50,20,0.358482389431934,825.946445634921,Fmr1-LE,WT,M
210,Purple2,Mixed,0,50,15,0.209250708666505,1225.30052619048,Fmr1-LE,KO,M
210,Purple2,Mixed,0,50,25,0.61650557584009,499.423054545455,Fmr1-LE,KO,M
210,Purple2,Mixed,0,50,35,2.1894305275168,383.687004908425,Fmr1-LE,KO,M
210,Purple2,Mixed,0,50,45,2.37267530767766,322.864170915751,Fmr1-LE,KO,M
210,Purple2,Mixed,0,100,15,0.0270776100319893,848.134553333333,Fmr1-LE,KO,M
210,Purple2,Mixed,0,100,25,0.774062332841096,420.178102777778,Fmr1-LE,KO,M
210,Purple2,Mixed,0,100,35,2.24335741934326,385.183791684982,Fmr1-LE,KO,M
210,Purple2,Mixed,0,100,45,2.48161950170129,334.099268443224,Fmr1-LE,KO,M
210,Purple2,Mixed,0,300,15,0.247829631164719,904.18244,Fmr1-LE,KO,M
210,Purple2,Mixed,0,300,25,1.56840662989771,460.267110757576,Fmr1-LE,KO,M
210,Purple2,Mixed,0,300,35,2.58432938670956,329.990103434066,Fmr1-LE,KO,M
210,Purple2,Mixed,0,300,45,2.58432938670956,289.602776923077,Fmr1-LE,KO,M
211,Purple4,Alone,0,50,40,2.89675197850474,286.421719521256,Fmr1-LE,WT,M
211,Purple4,Alone,0,50,45,2.76262418466972,242.296055855594,Fmr1-LE,WT,M
